ID,Name:,Hersteller:,Erzeugnis aus:,Region:,Wein:,Jahrgang:,Rebsorte:,Qualität:,Alkohol in %:,Geschmack:,Allergene:,Ausbauart:,Trinktemperatur in °C:,Trinkempfehlung:,Verschluß:,Auszeichnungen:,Paßt zu:,Lage:,Boden:,Essen:,Herstellung:,Dekantieren:,Säure g/l:,Restzucker g/l:,Produkt aus biologischem Anbau:,Biokontrollstelle:,Diverses:,Zutaten:,Verkäufer:,Verkostungsnotiz:
405,   Champagne Billecart Salmon   2008 Cuvée Elisabeth Salmon Rosé Magnum ," Champagne Billecart Salmon, Champagne BILLECART-SALMON : 40, rue Carnot, B.P. 8 - 51 160 MAREUIL-SUR-AŸ - FRANCE ", Frankreich , Champagne , Schaumwein rosé ," Blauer Spätburgunder/Pinot Noir/Pinot Nero, Chardonnay "," Champagne AC, Premiumwein ", 12.5 ," herb (brut), 0 - 12 g Restzucker/Liter ", Enthält Sulfite , 8 , 2033+ , Naturkork ,, 7.0 ," Apéritif, Bressehuhn, Dessert, Fisch, Flußkrebsen, Hummer, Kaisergranat ","Apéritif, Hummer, Fisch, fruchtige Desserts", 2008 ," Edelstahltank, Holzfaß, traditionelle Flaschengärung ","Méthode Traditionelle, handgerüttelt",,,"Premièr & Grand Cru Lagen, Marnetal",,,,Kalk und Kreide,,1,
406,   Champagne Krug   Clos du Mesnil 2004 ," Champagne Krug, 5, Rue Coquebert F-51100 Reims ", Frankreich , Champagne , Schaumwein weiß , Chardonnay ," Champagne AC, Premiumwein ", 12.5 , trocken , Enthält Sulfite , 8 - 12 , bis 2040+ , Naturkork ,,,,, 2004 ,,,,,Cru Lagen, etwa 30 Minuten ,,,,,1,
407,   Weingut Winter   2020 Pinot Noir Rosé trocken ," Weingut Winter, Weingut Winter, Hauptstrasse 17, 67596 Dittelsheim Hessloch ", Deutschland , Rheinhessen , Rosé ,2020, Blauer Spätburgunder/Pinot Noir/Pinot Nero , Qualitätswein , 11.5 , trocken , Enthält Sulfite ," Edelstahltank, Holzfaß ", 8 - 10 , Stelvin-Drehverschluß ,Weinberge um Dittelsheim,Tiefgründige Tonböden und Kalkgestein,,,,,,,,,,,,,1,
408,   Maison Saint Aix   2020 Aix Rosé Coteaux d'Aix-en-Provence Magnum ," Maison Saint Aix, Domaine de la Grande Séouve F-13490 Jouques en Provence ", Frankreich , Provence , Rosé ,2020," Cinsault, Grenache Noir, Syrah ", Coteaux d'Aix en Provence AC , 13.0 , trocken , Enthält Sulfite , Edelstahltank , 8 - 10 , Kork ,,, 2024+ ," Apéritif, Fisch vom Grill, Lamm, mediterraner Küche ", 6.1 , 0.6 ," Antonio Galloni Vinous, Wein Direktimport ",,,,,," Der 2020 Aix Rosé startet mit feiner Himbeeraromatik, ergänzt von Süß- und Sauerkirsche, roten Gartenbeeren, Pfirsich, ein wenig Zitronenzeste und floralen Aromen.Am Gaumen frischer Auftakt, fruchtig und mit feiner Säure, betont trocken mit dezenter Phenolik, die sehr anregend ist und im Zusammenspiel mit der Säure für die lebhafte Komponente sorgt. Die leicht cremige Struktur hingegen bringt den süffigen, anregenden Charakter. Der 2020 Aix Rosé ist ein herrlicher „vin de soif“ auf hohem Niveau und sollte auch ausgewiesene Roségegner überzeugen. Josh Raynolds, Vinous, Juni 2021: „Pale, shimmering orange. Bright and focused on the nose, displaying fresh red berry, nectarine and orange zest aromas, with floral and mineral overtones. Strawberry and nectarine flavors show good depth and a bracing jolt of juicy acidity. The floral note repeats on the lively finish, which lingers with very good tenacity.“",,1,
409,   Maxime Dubuet Boillot   2020 Bourgogne Passetoutgrain Rosé sur Lie 'Cuvée Rosalie' ," Maxime Dubuet Boillot, 4 Rue de la Tour, F-21190 Volnay ", Frankreich , Bourgogne , Rosé ,2020, Gamay , AOC , 13.0 , trocken , Enthält Sulfite , Edelstahltank , 14 - 18 , Naturkork ,,"Kalk, Lehm", bis 2024 ,,,,,,,,,,,,1,
410,   Domaine de Triennes   2020 Rosé Méditerranée ," Domaine de Triennes, RDN 560 F-83860 Nans-les-Pins ", Frankreich , Provence , Rosé ,2020," Cinsault, Grenache Noir, Merlot, Syrah ", Méditerranée IGP , 12.5 , trocken , Enthält Sulfite , Edelstahltank , 8 - 10 , Stelvin-Drehverschluß ,,, 2022+ ," Apéritif, Fisch vom Grill, Lamm, mediterraner Küche ",, 0.5 , Wein Direktimport ,,,,,," Die von Cinsault dominierte Cuvée 2020 Triennes Rosé ist herrlich erfrischend und süffig, in der Nase mit Aromen von roten Johannisbeeren, frisch gepflückten Erdbeeren, reifen Aprikosen, frisch aufgeschnittener Zitrone, etwas Orange und Grapefruit, dezent Vanille, einem Hauch Blüten. Am Gaumen startet der 2020 Rosé Méditerranée frisch, saftig und harmonisch. Er ist nicht zu schwer, die feine und frischer Säure sorgt für die perfekte Harmonie mit den Fruchtaromen. Feine Gewürzaromen kommen mit etwas Verzögerung, sie passen perfekt zur Struktur des anregenden Weines, von dem immer eine zweite Flasche in der Kühlung stehen sollte. Es ist ein toller Wein zum Apéro, zu Gemüse, Fisch oder Lamm vom Grill. Und der meistverkaufte Rosé im Sortiment vom Wein Direktimport.",,1,
411,"   Cà dei Frati   2020 Rosa dei Frati, Riviera del Garda Classico "," Cà dei Frati, Via Frati 22, 25019 Lugana di Sirmione ", Italien , Lombardei , Rosé ,2020," Barbera, Gropello, Marzemino, Sangiovese ", DOC , 12.5 , trocken , Enthält Sulfite , Edelstahltank , 8 - 12 , Kork ,"I Frati - Sirmione, La Tür- Desenzano del Garda",Kalkhaltige Lehmböden mit sandiger Auflage, 2023+ ," Apéritif, Fisch, Süßwasser, Geflügel, Gemüse, gebraten, Pasta, Risotto ",,,,6 Monate Ausbau im Edelstahltank,"Als Apéritif, zu leichten Vorspeisen mit Fisch und hellem Fleisch, zu gebratenem Gemüse und Champignons, Tomaten-Mozzarella-Salat, Pasta und delikaten Risotto-Gerichten.",,,," Der 2020 Rosa dei Frati hat ein feines Bouquet mit Aromen von Waldbeeren, reifer Kirsche und etwas Pfirsich. Dazu kommen dezente florale Aromen von Veilchen und Weißdorn, die sanft in der Nase kitzeln.Am seidigen Gaumen setzt spontaner Trinkfluß ein. Der 2020 Rosa dei Frati ist saftig, frisch, feinwürzig, hat einen Hauch feine Gerbstoffe und ist dabei dennoch von einer bewundernswerten Zartheit und Eleganz. Er ist ein wunderbarer Begleiter für einen vergnügten Sonnentag auf dem Balkon oder im Garten.",,1,
412,   Markus Schneider   2020 Rosé Saigner ," Markus Schneider, Markus Schneider GbR, Am Hohen Weg 1, 67158 Ellerstadt ", Deutschland , Pfalz , Rosé ,2020," Blaufränkisch/Lemberger, Cabernet Franc, Merlot, Syrah ", Qualitätswein , 12.5 , trocken , Enthält Sulfite , Edelstahltank , 8 - 12 , Stelvin-Drehverschluß ,,, 2022+ ," Apéritif, Rindersteaks, Salat ",,,,,,,,," In der Nase frisch und lebhaft, mit deutlichen Aromen von Erdbeeren, Himbeeren und schwarzen Johannisbeeren, dezent weißer Pfeffer.Am Gaumen mit feinem herbem Auftakt, saftiger, frischer Frucht und ganz feinen Gerbstoffen, auch wieder etwas weißer Pfeffer. Die Würzigkeit des 2020 Rosé Saigner überrascht, die Nähe zu Rotwein ist deutlich spürbar.",,1,
413,"   Domaine Sérol, Bioweingut   2020 Rosé 'Cabochard' "," Domaine Sérol, Bioweingut, Domaine Sérol, Les Estinaudes, F-42370 Renaison ", Frankreich , Loire , Rosé ,2020, Gamay , IGP d'Urfé , 12.5 , trocken , Enthält Sulfite , Betontank , 6 - 10 , Naturkork ,,, bis 2023 ," Apéritif, Fisch, Süßwasser, Geflügel ",,,,,," Bio nach EU Ökoverordnung, Certifié Agriculture Biologique AB ",FR-Bio-01,," Der 2020 Rosé 'Cabochard' hat ein helles Lachsrosa. In der Nase finden Sie Aromen von Waldbeeren, Cranberrys, Süßholz, ein wenig weißem Pfirsich und feine Kräuterwürze.Am Gaumen startet er elegant und frisch, der mittelkräftige Weine hat hier noch Honigaromen, eine mittlere Säure und eine feine, leicht salzige Mineralik. Er sorgt für unkompliziertes Trinkvergnügen, paßt zum Apéro und feinen Fisch- oder Geflügelgerichten.",,1,
414,   Weingut Metzger   2020 Pink -B- ," Weingut Metzger, Uli Metzger Langgasse 34, 67269 Grünstadt-Asselheim ", Deutschland , Pfalz , Rosé ,2020," Dornfelder, Merlot ", Qualitätswein , 11.5 , feinherb , Enthält Sulfite , Edelstahltank , 8 - 10 , Stelvin-Drehverschluß ,,, 2023+ , Apéro , 6.7 , 17.2 ,,,"Perfekt für die Sommerterasse, leichte Häppchen im Stehen.",,,,,,1,
