,best_match_score,__id_left,__id_right,full_name_left,wine_country_left,wine_type_left,full_name_right,wine_country_right,wine_type_right
13161,0.07044908108276084,131_left,11567_right,PIRRAMIMMA Petit Verdot,Australien,red,Rustenberg Petit Verdot Rosé,Südafrika,rosé
21173,0.07016902235883753,230_left,1051_right,KARL PFAFFMANN Riesling Hölle,Deutschland,white,Karl Pfaffmann Markus Pfaffmann Weissburgunder Trocken,Deutschland,white
6230,0.07011217580815342,56_left,12330_right,VECCHIA TORRE Primitivo,Italien,red,Vecchia Torre Leverano Rosato,Italien,rosé
5725,0.06757992933820134,47_left,2759_right,CASTEL FIRMIAN Teroldego,Italien,red,Mezzacorona Castel Firmian Lagrein Riserva,Italien,red
18126,0.0647359588510014,192_left,234_right,CONTI DI COLLOREDO Pinot Grigio,Italien,white,Zenato Pinot Grigio,Italien,white
16336,0.06298432421715168,172_left,1288_right,POUILLY-FUMÉ Les Genièvres,Frankreich,white,Domaine A Cailbourdin Les Cris Pouilly-Fumé,Frankreich,white
5588,0.06233582730442734,45_left,4472_right,JADOT Volnay,Frankreich,red,Louis Jadot Chablis,Frankreich,white
16589,0.061766528835168026,175_left,7087_right,SANCERRE Les Vignolles,Frankreich,white,Dauny Sancerre 'Les Caillottes',Frankreich,white
16319,0.05824392463337642,171_left,3810_right,JEAN GEILER Gewürztraminer,Frankreich,white,Cleebourg Gewürztraminer,Frankreich,white
22991,0.057878100059527496,258_left,2409_right,TABERNUS Chardonnay,Deutschland,white,Schneider Chardonnay,Deutschland,white
17759,0.057674601145244614,190_left,12330_right,VECCHIA TORRE Vermentino,Italien,white,Vecchia Torre Leverano Rosato,Italien,rosé
4005,0.056632356832561244,28_left,22_right,CASTELMAURE Grande Cuvée,Frankreich,red,Keringer Grande Cuvée,Österreich,red
2022,0.05605077501737323,14_left,3796_right,LE CHAMP DES MURAILLES,Frankreich,red,Domaine la Croix Belle Le Champ des Lys,Frankreich,white
10298,0.05493648088667637,96_left,7244_right,PRINCIPIO Garnacha,Spanien,red,Intruso Garnacha,Spanien,red
19042,0.05282431341296361,202_left,225_right,VILLA DUGO Sauvignon Blanc,Italien,white,Attems Sauvignon Blanc,Italien,white
17758,0.05242581043378756,189_left,5277_right,LE VELE Verdicchio,Italien,white,Moncaro Verdicchio Dei Castelli Di Jesi Classico Le Vele,Italien,white
