wine_id,wine_name,wine_winery,wine_country,wine_region,wine_year,wine_type,wine_price,wine_alcohol
1309336,Rioja Reserva Mazuelo,Beronia,Spanien,Rioja,2016,red,14.99,13.5
1128310,Reserve Cabernet Sauvignon,Remhoogte,Südafrika,Simonsberg-Stellenbosch,2017,red,44.95,14.0
31464,Sauvignon Blanc,Mud House,Neuseeland,Marlborough,2020,white,9.95,12.5
1173873,Familia Valdelana Reserva,Bodegas Valdelana,Spanien,Rioja,2015,red,12.5,0.0
2602485,Lenchen Riesling Kabinett,Peter Jakob Kühn,Deutschland,Rheingau,2018,white,20.0,10.0
77137,Unico,Vega Sicilia,Spanien,Ribera del Duero,2008,red,429.0,14.0
2655011,St. Magdalener,Colterenzio (Schreckbichl),Italien,Südtirol - Alto Adige,2019,red,8.45,12.5
54514,Merlot de Purcari,Château Purcari,Republik Moldau,South Eastern,2018,red,11.8,14.0
5842991,Les Deux Albion 'Principaute d'Orange' Vaucluse Blanc,Château de Saint Cosme,Frankreich,Vaucluse,2020,white,12.95,0.0
1160563,Perdixi,Olianas,Italien,Isola dei Nuraghi,2018,red,18.8,13.9
4344615,Celeste Reserva,Pago del Cielo,Spanien,Ribera del Duero,2016,red,29.95,15.0
1172579,Regain Rouge,Vindemio,Frankreich,Ventoux,2015,red,9.95,14.5
1222897,Manzoni Bianco Fontanasanta,Foradori,Italien,Vigneti delle Dolomiti,2018,white,19.84,12.5
1221185,Greco - Fiano Basilicata Pipoli,Vigneti del Vulture,Italien,Basilicata,2020,white,5.87,12.5
1140854,L'Elfo Pinot Grigio,Sacchetto,Italien,Veneto,2019,white,5.89,12.0
4518418,Ampelio Chardonnay Langhe,Fontanafredda,Italien,Langhe,2018,white,14.12,13.5
86497,Clos du Château Bourgogne Chardonnay,Château de Meursault,Frankreich,Bourgogne,2018,white,39.5,12.5
1236950,Loureiro Dócil,Niepoort,Portugal,Vinho Verde,2020,white,9.56,11.0
74921,Lagrein,Cantina Bolzano / Kellerei Bozen,Italien,Südtirol - Alto Adige,2020,red,10.6,13.5
1100986,La Jalousie Savennières,Domaine du Closel - Château des Vaults,Frankreich,Savennières,2018,white,31.8,13.5
1885308,Plaer Vinyes Velles,Acustic Celler,Spanien,Priorat,2017,red,23.95,15.0
1650073,Kabar Tokaji,Château Dereszla,Ungarn,Tokaj,2018,white,19.9,14.5
2823557,Etna Bianco,Tornatore,Italien,Ätna,2019,white,14.9,0.0
5621447,Riesling,Marto,Deutschland,Rheinhessen,2019,white,22.9,12.0
1210237,Win Win Riesling,Von Winning,Deutschland,Pfalz,2020,white,9.95,12.0
1879,Malbec,Alamos,Argentinien,Mendoza,2019,red,7.5,13.5
21950,Masianco,Masi,Italien,Venezia,2020,white,9.9,0.0
68364,Bernkasteler Badstube Riesling Spätlese,Joh. Jos. Prüm,Deutschland,Bernkastel,2018,white,26.01,9.0
1650763,Papa Figos Douro,Casa Ferreirinha,Portugal,Douro,2019,red,12.98,13.0
1128618,Saint-Émilion Grand Cru (Grand Cru Classé),Château Sansonnet,Frankreich,Saint-Émilion Grand Cru,2015,red,49.95,15.0
1268655,Cabernet Sauvignon,Catena,Argentinien,Mendoza,2018,red,13.23,13.5
1211299,Giallo d'Arles Greco di Tufo,Quintodecimo,Italien,Greco di Tufo,2018,white,42.5,13.5
16226,Crianza Tinto,Pago de Los Capellanes,Spanien,Ribera del Duero,2017,red,28.95,14.5
1761235,Colle Civetta Pecorino Abruzzo,Pasetti,Italien,Abruzzo,2016,white,14.5,13.0
1104805,V. Lazzairasco Barolo,Guido Porro,Italien,Barolo,2017,red,37.5,14.5
1240245,Terre Vineate Orvieto Classico Superiore,Palazzone,Italien,Orvieto Classico,2020,white,11.7,0.0
1150729,Priorat Cruor,Casa Gran del Siurana,Spanien,Priorat,2014,red,18.95,15.0
1164827,Chablis,Domaine des Malandes,Frankreich,Chablis,2018,white,17.95,12.5
77868,Carchelo (C),Carchelo,Spanien,Jumilla,2019,red,9.56,14.5
6209,Toscana Dogajolo Rosso,Carpineto,Italien,Toscana,2018,red,8.5,13.0
13423,Messapia Verdeca Salento,Leone de Castris,Italien,Salento,2020,white,8.9,12.0
1255174,Côtes De Gascogne Classic,Domaine du Tariquet,Frankreich,Côtes de Gascogne,2020,white,5.99,10.5
1957424,No. 7 Tannat - Merlot,Uby,Frankreich,Côtes de Gascogne,2020,red,5.9,11.0
5054940,Syrah,Monte da Ravasqueira,Portugal,Alentejano,2018,red,16.53,0.0
1123337,Contea di Sclafani Nozze d'Oro Regaleali,Tasca d'Almerita,Italien,Contea di Sclafani,2018,white,15.9,13.5
1197725,Doss Chardonnay,Castelfeder,Italien,Südtirol - Alto Adige,2019,white,10.5,13.5
1383553,Roda I Reserva Rioja,Bodegas Roda,Spanien,Rioja,2016,red,46.5,14.5
88751,Pecorino Abruzzo,Pasetti,Italien,Abruzzo,2019,white,11.5,12.5
1184459,Brunello di Montalcino,Santa Giulia,Italien,Brunello di Montalcino,2016,red,29.95,14.5
2177372,Selecció Tinto,Edetària,Spanien,Terra Alta,2017,red,26.99,15.0
7030870,Naked White,Heinrich,Österreich,Burgenland,2017,white,12.9,12.5
1178615,Orchidea Sauvignon Blanc,Inurrieta,Spanien,Navarra,2020,white,5.9,13.0
2509745,Branco de Santa Cruz,Telmo Rodriguez,Spanien,Valdeorras,2018,white,24.9,13.5
1118604,Pinot Gris,Seifried Estate,Neuseeland,Nelson,2020,white,12.9,12.5
