,best_match_score,__id_left,__id_right,wine_name_left,wine_winery_left,wine_country_left,wine_region_left,wine_type_left,wine_name_right,wine_winery_right,wine_country_right,wine_region_right,wine_type_right
33074,1.2806099417864834,253_left,5519_right,"Chianti Classico Gran Selezione ""Vigna del Sorbo"" Magnum",Az. Agr. Fontodi, Italien ,Toscana,red,Vigna del Sorbo Gran Selezione Chianti Classico,Fontodi,Italien,Chianti Classico,red
91,1.266145716439443,2_left,7444_right,"Amarone della Valpolicella DOC ""Pietro dal Cero""",Cà dei Frati, Italien ,Lombardei,red,Pietro Dal Cero Amarone della Valpolicella,Cà dei Frati,Italien,Amarone della Valpolicella,red
5200,1.261036516561764,64_left,5315_right,"Pinot Noir trocken ""Prago""",Weingut Metzger, Deutschland ,Pfalz,red,Prago Pinot Noir,Weingut Metzger,Deutschland,Pfalz,red
58743,1.2467077457288551,496_left,7685_right,Riesling trocken vom Buntsandstein VDP.Ortswein,Ökonomierat Rebholz, Deutschland ,Pfalz,white,Vom Buntsandstein Riesling Trocken,Ökonomierat Rebholz,Deutschland,Pfalz,white
79490,1.2467077457288551,777_left,7685_right,Riesling trocken vom Buntsandstein VDP.Ortswein,Ökonomierat Rebholz, Deutschland ,Pfalz,white,Vom Buntsandstein Riesling Trocken,Ökonomierat Rebholz,Deutschland,Pfalz,white
48365,1.2366581431195158,351_left,3245_right,Pinot Blanc Haus Klosterberg,Weingut Markus Molitor, Deutschland ,Mosel,white,Haus Klosterberg Pinot Blanc,Markus Molitor,Deutschland,Mosel,white
67277,1.2163246303120294,627_left,2788_right,Chardonnay * Wehlener Klosterberg,Weingut Markus Molitor, Deutschland ,Mosel,white,Wehlener Klosterberg Chardonnay *,Markus Molitor,Deutschland,Mosel,white
61950,1.1976106854917021,543_left,1124_right,"Riesling Kabinett Kinheimer Rosenberg, grüne Kapsel",Weingut Markus Molitor, Deutschland ,Mosel,white,Kinheimer Rosenberg Riesling Kabinett,Markus Molitor,Deutschland,Mosel,white
82380,1.1936067948000866,804_left,603_right,Lagrein 'Rubatsch',Manincor, Italien ,Südtirol/Alto Adige,red,Rubatsch Lagrein,Manincor,Italien,Südtirol - Alto Adige,red
77651,1.1936067948000866,748_left,603_right,Lagrein 'Rubatsch',Manincor, Italien ,Südtirol/Alto Adige,red,Rubatsch Lagrein,Manincor,Italien,Südtirol - Alto Adige,red
1483,1.1936067948000866,17_left,603_right,Lagrein 'Rubatsch',Manincor, Italien ,Südtirol/Alto Adige,red,Rubatsch Lagrein,Manincor,Italien,Südtirol - Alto Adige,red
28014,1.1936067948000866,220_left,603_right,Lagrein 'Rubatsch',Manincor, Italien ,Südtirol/Alto Adige,red,Rubatsch Lagrein,Manincor,Italien,Südtirol - Alto Adige,red
77678,1.1915593647387202,753_left,1935_right,11 + 1:  Côtes du Rhône 'Coudoulet de Beaucastel',Château de Beaucastel/Familie Perrin, Frankreich ,Rhône,red,Coudoulet de Beaucastel Côtes-du-Rhône,Château de Beaucastel,Frankreich,Côtes-du-Rhône,red
89044,1.1885699803202099,915_left,11374_right,Cuvée Katharina Brut Nature,Sekthaus Raumland, Deutschland ,Rheinhessen,sparkling,Cuvée Katharina Brut Nature,Raumland,Deutschland,Rheinhessen,sparkling
24658,1.184706220902755,194_left,9455_right,Mas Collet Selecció,Celler de Capçanes, Spanien ,Tarragona,red,Mas Collet Selecció,Celler de Capçanes,Spanien,Montsant,red
65611,1.1832320306225321,612_left,472_right,Riesling trocken 'Kabinettstück',Weingut Schloss Lieser, Deutschland ,Mosel,white,Kabinettstück Riesling Trocken,Schloss Lieser,Deutschland,Mosel,white
88802,1.1745666923580906,912_left,9828_right,Brut Bianco Cuvée dei Frati,Cà dei Frati, Italien ,Lombardei,sparkling,Cuvée dei Frati Brut,Cà dei Frati,Italien,Lombardia,sparkling
87905,1.1715342652089904,902_left,10377_right,Crémant de Loire Excellence Blanc Brut,Bouvet Ladubay, Frankreich ,Loire,sparkling,Crémant de Loire Blanc de Blancs Brut,Bouvet-Ladubay,Frankreich,Crémant de Loire,sparkling
65575,1.1714926133521535,611_left,7256_right,Riesling trocken 'Heldenstück',Weingut Schloss Lieser, Deutschland ,Mosel,white,Heldenstück Riesling Trocken,Schloss Lieser,Deutschland,Mosel,white
87904,1.1679463209943723,901_left,11779_right,Crémant de Loire Excellence Rosé Brut,Bouvet Ladubay, Frankreich ,Loire,sparkling,Crémant de Loire Brut Rosé,Bouvet-Ladubay,Frankreich,Crémant de Loire,sparkling
60462,1.149362200341551,518_left,1484_right,Riesling Kabinett Wiltinger braune Kupp,Weingut Egon Müller, Deutschland ,Saar,white,Riesling 'Le Gallais' Wiltinger Braune Kupp Kabinett,Egon Müller - Scharzhof,Deutschland,Wiltingen,white
48438,1.131716589855389,358_left,4853_right,'La Manina',Manincor, Italien ,Südtirol/Alto Adige,white,La Manina,Manincor,Italien,Südtirol - Alto Adige,white
77653,1.131716589855389,749_left,4853_right,'La Manina',Manincor, Italien ,Südtirol/Alto Adige,white,La Manina,Manincor,Italien,Südtirol - Alto Adige,white
73952,1.1240212962166052,723_left,9751_right,Domaine de Chevalier blanc Magnum,Domaine de Chevalier, Frankreich ,Bordeaux,white,Rosé de Chevalier,Domaine de Chevalier,Frankreich,Bordeaux,rosé
118,1.1209855847878183,7_left,2640_right,Châteauneuf-du-Pape Rouge,Domaine de la Janasse, Frankreich ,Rhône,red,Châteauneuf-du-Pape (Tradition) Rouge,Domaine de la Janasse,Frankreich,Châteauneuf-du-Pape,red
62531,1.1135436923452455,568_left,1822_right,Grüner Veltliner Tradition,Schloss Gobelsburg, Österreich ,Kamptal,white,Grüner Veltliner,Schloss Gobelsburg,Österreich,Kamptal,white
67326,1.1078648417998513,634_left,1846_right,Weißburgunder trocken -B-,Weingut Metzger, Deutschland ,Pfalz,white,Weissburgunder Trocken,Weingut Metzger,Deutschland,Pfalz,white
83592,1.1054698528328517,815_left,1768_right,"Châteauneuf-du-Pape rouge ""Les Safres""",Le Clos du Caillou, Frankreich ,Rhône,red,Châteauneuf-du-Pape Les Safres,Clos du Caillou,Frankreich,Châteauneuf-du-Pape,red
33361,1.1054698528328517,257_left,1768_right,"Châteauneuf-du-Pape rouge ""Les Safres""",Le Clos du Caillou, Frankreich ,Rhône,red,Châteauneuf-du-Pape Les Safres,Clos du Caillou,Frankreich,Châteauneuf-du-Pape,red
76614,1.0930316905844353,742_left,932_right,Terlaner 'Réserve della Contessa',Manincor, Italien ,Südtirol/Alto Adige,white,Réserve della Contessa,Manincor,Italien,Südtirol - Alto Adige,white
48435,1.0930316905844353,357_left,932_right,Terlaner 'Réserve della Contessa',Manincor, Italien ,Südtirol/Alto Adige,white,Réserve della Contessa,Manincor,Italien,Südtirol - Alto Adige,white
61883,1.0909282334167896,541_left,7728_right,Sauvignon Blanc trocken -B-,Weingut Metzger, Deutschland ,Pfalz,white,Sauvignon Blanc Trocken,Weingut Metzger,Deutschland,Pfalz,white
82024,1.0754739034249647,800_left,326_right,Riesling Großes Gewächs Doosberg,Weingut Peter Jakob Kühn, Deutschland ,Rheingau,white,Doosberg Riesling Trocken,Peter Jakob Kühn,Deutschland,Rheingau,white
65258,1.0754739034249647,605_left,326_right,Riesling Großes Gewächs Doosberg,Weingut Peter Jakob Kühn, Deutschland ,Rheingau,white,Doosberg Riesling Trocken,Peter Jakob Kühn,Deutschland,Rheingau,white
85569,1.0754739034249647,852_left,326_right,Riesling Großes Gewächs Doosberg,Weingut Peter Jakob Kühn, Deutschland ,Rheingau,white,Doosberg Riesling Trocken,Peter Jakob Kühn,Deutschland,Rheingau,white
62012,1.0683791735211383,549_left,927_right,"Grüner Veltliner Smaragd ""Vinothekfüllung""",Weingut Emmerich Knoll, Österreich ,Wachau,white,Ried Loibenberg Loibner Grüner Veltliner Smaragd,Weingut Knoll,Österreich,Wachau,white
15400,1.0640951732107258,126_left,3032_right,"Brunello di Montalcino ""Tenuta Nuova""",Az. Agr. Casanova di Neri, Italien ,Toscana,red,Tenuta Nuova Brunello di Montalcino,Casanova di Neri,Italien,Brunello di Montalcino,red
48373,1.060730868252373,354_left,369_right,Pinot Blanc Einstern*,Weingut Markus Molitor, Deutschland ,Mosel,white,Einstern Pinot Blanc,Markus Molitor,Deutschland,Mosel,white
65874,1.060730868252373,614_left,369_right,Pinot Blanc Einstern*,Weingut Markus Molitor, Deutschland ,Mosel,white,Einstern Pinot Blanc,Markus Molitor,Deutschland,Mosel,white
89051,1.0585393944191768,919_left,12001_right,Champagne Brut 'La Chanose',Champagne Didier Doué, Frankreich ,Champagne,sparkling,La Chanose Sélection Brut Champagne,Didier Doué,Frankreich,Schaumwein,sparkling
20983,1.0464583853132334,173_left,772_right,Château Lynch Bages Pauillac Grand Cru Classé,Château Lynch Bages, Frankreich ,Bordeaux,red,Pauillac (Grand Cru Classé),Château Lynch-Bages,Frankreich,Pauillac,red
1540,1.036447965763595,20_left,4202_right,Neropasso Rosso Veneto,Biscardo, Italien ,Veneto,red,Neropasso Veneto Rosso,Biscardo,Italien,Veneto,red
50914,1.0328738515261444,399_left,121_right,Riesling Kabinett Bernkasteler Badstube,Weingut Joh. Jos. Prüm, Deutschland ,Mosel,white,Bernkasteler Badstube Riesling Spätlese,Joh. Jos. Prüm,Deutschland,Bernkastel,white
63113,1.0328738515261444,579_left,121_right,Riesling Kabinett Bernkasteler Badstube,Weingut Joh. Jos. Prüm, Deutschland ,Mosel,white,Bernkasteler Badstube Riesling Spätlese,Joh. Jos. Prüm,Deutschland,Bernkastel,white
84862,1.0188088337113514,843_left,4675_right,Riesling Großes Gewächs Stromberg,Weingut Schäfer-Fröhlich, Deutschland ,Nahe,white,Stromberg Riesling GG,Schäfer-Fröhlich,Deutschland,Nahe,white
66012,1.0188088337113514,616_left,4675_right,Riesling Großes Gewächs Stromberg,Weingut Schäfer-Fröhlich, Deutschland ,Nahe,white,Stromberg Riesling GG,Schäfer-Fröhlich,Deutschland,Nahe,white
85963,1.0188088337113514,858_left,4675_right,Riesling Großes Gewächs Stromberg,Weingut Schäfer-Fröhlich, Deutschland ,Nahe,white,Stromberg Riesling GG,Schäfer-Fröhlich,Deutschland,Nahe,white
52242,1.0188088337113514,418_left,4675_right,Riesling Großes Gewächs Stromberg,Weingut Schäfer-Fröhlich, Deutschland ,Nahe,white,Stromberg Riesling GG,Schäfer-Fröhlich,Deutschland,Nahe,white
20095,1.0123088362945534,163_left,3032_right,"Brunello di Montalcino ""Tenuta Nuova"" Magnum",Az. Agr. Casanova di Neri, Italien ,Toscana,red,Tenuta Nuova Brunello di Montalcino,Casanova di Neri,Italien,Brunello di Montalcino,red
20247,1.0123088362945534,164_left,3032_right,"Brunello di Montalcino ""Tenuta Nuova"" Magnum",Az. Agr. Casanova di Neri, Italien ,Toscana,red,Tenuta Nuova Brunello di Montalcino,Casanova di Neri,Italien,Brunello di Montalcino,red
24657,1.0115071549213517,193_left,5807_right,Lasendal Selecció,Celler de Capçanes, Spanien ,Tarragona,red,Lasendal Selecció,Celler de Capçanes,Spanien,Montsant,red
62031,1.0097185333625711,558_left,2584_right,Grauburgunder trocken -B-,Weingut Metzger, Deutschland ,Pfalz,white,Grauburgunder Trocken,Weingut Metzger,Deutschland,Pfalz,white
171,0.9981962486952598,10_left,2548_right,Schwarzer trocken,Weingut Metzger, Deutschland ,Pfalz,red,Kleiner Schwarzer,Weingut Metzger,Deutschland,Pfalz,red
88567,0.9932024761517655,910_left,11877_right,Sauvignon Blanc Brut,Sektmanufaktur Schloss Vaux, Deutschland ,Pfalz,sparkling,Sauvignon Blanc Brut,Schloss Vaux,Deutschland,Pfalz,sparkling
20758,0.989503473241946,169_left,2207_right,Bolgheri Superiore Rosso 'Sor Ugo',Aia Vecchia, Italien ,Toscana,red,Sor Ugo Bolgheri Superiore,Aia Vecchia,Italien,Bolgheri Superiore,red
89313,0.988580472519451,925_left,9761_right,Champagne Rosé 'Rosé de Craie',Champagne Etienne Calsac, Frankreich ,Champagne,sparkling,Rose de Craie Rosé Champagne,Etienne Calsac,Frankreich,Schaumwein,sparkling
