,best_match_score,__id_left,__id_right,full_name_left,wine_country_left,wine_region_left,wine_type_left,full_name_right,wine_country_right,wine_region_right,wine_type_right
4196,-0.44875987850544097,26_left,2235_right,Le Lame Chianti Classico D.O.C.G. Gallo Nero Riserva,Italien,Toskana,red,I Sodi Chianti Classico Riserva,Italien,Chianti Classico,red
13277,-0.4492340966131457,71_left,6636_right,Teanum VENTO Bianco Falanghina & Chardonnay,Italien,Apulien,white,Teanum Òtre Primitivo,Italien,Puglia,red
7896,-0.45799060090912386,44_left,12442_right,Domaine Girard Cuvée Neri Rouge A.O.P. Malepère,Frankreich,Languedoc-Roussillon,red,Domaine J. Laurens Clos des Demoiselles Tête de Cuvée Brut,Frankreich,Languedoc-Roussillon,sparkling
12830,-0.4661702672241462,69_left,10623_right,Adriana Ochoa 8A Mil Gracias Graciano Crianza D.O. Navarra,Spanien,Navarra,red,Bodegas Ochoa 8A Moscato de Ochoa de Aguja Frizzante,Spanien,Navarra,sparkling
2211,-0.46864929147733453,14_left,11258_right,Domaine Girard Tradition Rouge A.O.P. Malepère,Frankreich,Languedoc-Roussillon,red,Domaine Lafage Côté Rosé,Frankreich,Languedoc-Roussillon,rosé
2663,-0.4768798154955924,16_left,347_right,"Rejadorada Novellum Crianza D.O. Toro Magnum (1,5l)",Spanien,Toro,red,Pintia Toro,Spanien,Toro,red
4650,-0.48303944159263296,28_left,6942_right,"Cascina Castlèt ""Vespa"" Barbera d'Asti D.O.C.G.",Italien,Piemont,red,Borgogno Barbera d'Alba,Italien,Piemont,red
11161,-0.5106702642229047,61_left,297_right,"Château de Lauga Bordeaux A.O.C. Haut-Médoc Cru Artisan Magnumflasche (1,5l)",Frankreich,Bordeaux,red,Château Guiraud Le G de Guiraud Bordeaux Blanc Sec,Frankreich,Bordeaux,white
10205,-0.5106702642229047,57_left,297_right,"Château de Lauga Bordeaux A.O.C. Haut-Médoc Cru Artisan Magnumflasche (1,5l)",Frankreich,Bordeaux,red,Château Guiraud Le G de Guiraud Bordeaux Blanc Sec,Frankreich,Bordeaux,white
9979,-0.5173960191639627,56_left,5664_right,La Petite Fleur de Château La Fleur Lauga Bordeaux A.O.C. Saint-Julien Cru Artisan,Frankreich,Bordeaux,red,Château Moulin de la Rose Saint-Julien,Frankreich,Saint-Julien,red
18416,-0.5209518280649853,102_left,6376_right,Cascina Castlèt A Taj Piemonte Chardonnay D.O.C.,Italien,Piemont,white,San Silvestro Ottone I Barbera Piemonte,Italien,Piemont,red
11422,-0.5210384669052911,62_left,456_right,"Cantina di Venosa Terre di Orazio D.O.P. Aglianico del Vulture 0,375l",Italien,Basilikata,red,Terre degli Svevi Taglio del Tralcio Aglianico del Vulture,Italien,Aglianico del Vulture,red
15103,-0.5295083778511309,80_left,1600_right,Cantina di Venosa Verbo Bianco Malvasia I.G.P. Basilicata,Italien,Basilikata,white,Varvaglione 12 e Mezzo Malvasia Bianca di Puglia,Italien,Puglia,white
9772,-0.5326586035700631,55_left,749_right,Château La Fleur Lauga Bordeaux A.O.C. Saint-Julien Cru Artisan,Frankreich,Bordeaux,red,Château Talbot Saint-Julien (Grand Cru Classé),Frankreich,Saint-Julien,red
5917,-0.5462497618049365,34_left,10038_right,Rignana Chianti Classico D.O.C.G. Gallo Nero,Italien,Toskana,red,G. Milazzo Bianco di Nera,Italien,Sizilien,sparkling
6601,-0.5626818951949009,37_left,297_right,"Château Arbo Bordeaux A.O.C. Montagne-Saint-Émilion 1,5l Magnum",Frankreich,Bordeaux,red,Château Guiraud Le G de Guiraud Bordeaux Blanc Sec,Frankreich,Bordeaux,white
9046,-0.5626818951949009,51_left,297_right,"Château Arbo Bordeaux A.O.C. Montagne-Saint-Émilion 1,5l Magnum",Frankreich,Bordeaux,red,Château Guiraud Le G de Guiraud Bordeaux Blanc Sec,Frankreich,Bordeaux,white
11628,-0.578571156534455,63_left,456_right,Cantina di Venosa Gesualdo D.O.P. Aglianico del Vulture,Italien,Basilikata,red,Terre degli Svevi Taglio del Tralcio Aglianico del Vulture,Italien,Aglianico del Vulture,red
20135,-0.5959489730335645,111_left,8204_right,Jean-Pierre Michel Viré-Clessé A.C. Terroirs de Quintaine,Frankreich,Burgund,white,Domaine des Gandines Terroir de Clessé Viré Clessé,Frankreich,Viré-Clessé,white
7253,-0.6074023808851565,41_left,2188_right,Cantina di Venosa Verbo Rosso D.O.P. Aglianico del Vulture,Italien,Basilikata,red,Cantina di Negrar Appassimento Rosso,Italien,Veneto,red
0,-0.6283119664004736,0_left,1168_right,"Cascina Castlèt Passum Barbera d'Asti D.O.C.G. Superiore 1,5l Magnum",Italien,Piemont,red,Ricossa Barbera d'Asti Superiore,Italien,Barbera d'Asti,red
204,-0.6283119664004736,1_left,1168_right,"Cascina Castlèt Litina Barbera d'Asti D.O.C.G. Superiore 1,5l Magnum",Italien,Piemont,red,Ricossa Barbera d'Asti Superiore,Italien,Barbera d'Asti,red
4404,-0.6314618308277583,27_left,10038_right,Le Lame Chianti Classico D.O.C.G. Gallo Nero,Italien,Toskana,red,G. Milazzo Bianco di Nera,Italien,Sizilien,sparkling
8327,-0.6798100724471331,48_left,2431_right,Cantina di Venosa Carato Venusio D.O.C.G. Aglianico del Vulture Superiore,Italien,Basilikata,red,Cantine del Notaio Il Sigillo Aglianico del Vulture,Italien,Aglianico del Vulture,red
7029,-0.6878200656729425,39_left,9502_right,Otero Crianza D.O.P. Valles de Benavente,Spanien,Valles de Benavente,red,D. Mateos Tío Martín Crianza,Spanien,Rioja,red
7682,-0.7010060001524647,43_left,10243_right,"Domaine Girard Cuvée Neri Rouge A.O.P. Malepère Magnum (1,5l)",Frankreich,Languedoc-Roussillon,red,Domaine Lafage La Triple Rosé,Frankreich,Languedoc-Roussillon,sparkling
4858,-0.7014426401712651,29_left,6942_right,"Cascina Castlèt ""Vespa"" Barbera d'Asti D.O.C.G. 0,375l",Italien,Piemont,red,Borgogno Barbera d'Alba,Italien,Piemont,red
19316,-0.7292153907555856,107_left,917_right,Specogna Chardonnay D.O.C. Colli Orientali del Friuli,Italien,Friaul - Julisch Venetien,white,Casale del Giglio Chardonnay Lazio,Italien,Lazio,white
19090,-0.7326991502994733,106_left,83_right,Specogna Friulano D.O.C. Colli Orientali del Friuli,Italien,Friaul - Julisch Venetien,white,Cormòns Friulano Collio,Italien,Collio,white
19919,-0.7411969154949697,110_left,10881_right,Jean-Pierre Michel Macon Villages A.C. Terroir de Quintaine,Frankreich,Burgund,white,Jean Michel Carte Blanche Brut Champagne,Frankreich,Schaumwein,sparkling
6809,-0.7591927330429858,38_left,2074_right,Otero Reserva D.O.P. Valles de Benavente,Spanien,Valles de Benavente,red,Marqués de Cáceres Rioja Reserva,Spanien,Rioja,red
19705,-0.7607470244090933,109_left,215_right,Specogna Sauvignon D.O.C. Colli Orientali del Friuli,Italien,Friaul - Julisch Venetien,white,Cà dei Frati I Frati Lugana,Italien,Lugana,white
21362,-0.7724812620501169,117_left,9861_right,Otero Finca Valleoscuro Rosado D.O.P. Valles de Benavente,Spanien,Valles de Benavente,rosé,Marqués de Riscal Rosado,Spanien,Rioja,rosé
20564,-0.8229233284416586,113_left,11027_right,Kassner-Simon Euphorie Rosé Q.b.A. trocken,,,,Wittmann Rosé Trocken,Deutschland,Rheinhessen,rosé
16282,-0.8447198453656094,90_left,1029_right,Otero Finca Valleoscuro Blanco D.O.P. Valles de Benavente,Spanien,Valles de Benavente,white,Baron de Ley Blanco,Spanien,Rioja,white
11880,-1.0132937848811994,64_left,78_right,Otero Finca Valleoscuro Tinto D.O.P. Valles de Benavente,Spanien,Valles de Benavente,red,Baron de Ley Finca Monasterio Rioja,Spanien,Rioja,red
6155,-1.1449440163930693,35_left,192_right,"Cantina di Venosa Carato Venusio D.O.C.G. Aglianico del Vulture 1,5l Magnum",Italien,Basilikata,red,Terre degli Svevi Re Manfredi Aglianico del Vulture,Italien,Aglianico del Vulture,red
