id,wine_name,wine_country,wine_region,wine_year,wine_type,wine_price,wine_alcohol,wine_seller
687,"Weingut Peter Jakob Kühn, Bioweingut   2018 Riesling Großes Gewächs Doosberg", Deutschland ,Rheingau,2018,white,0,13,1
688,Weingut Schloss Lieser   2019 Riesling Großes Gewächs Wehlener Sonnenuhr, Deutschland ,Mosel,2019,white,0,12.5,1
689,Weingut Reichsrat von Buhl   2018 Riesling Großes Gewächs (Forster) Kirchenstück, Deutschland ,Pfalz,2018,white,0,14,1
690,Weingut Reichsrat von Buhl   2018 Riesling Großes Gewächs (Forster) Pechstein, Deutschland ,Pfalz,2018,white,0,13,1
691,Weingut Reichsrat von Buhl   2018 Riesling Großes Gewächs (Forster) Jesuitengarten, Deutschland ,Pfalz,2018,white,0,12.5,1
692,Weingut Schloss Lieser   2019 Riesling Spätlese Piesporter Goldtröpfchen, Deutschland ,Mosel,2019,white,0,8,1
693,Weingut Schloss Lieser   2019 Riesling trocken 'Heldenstück', Deutschland ,Mosel,2019,white,0,12.5,1
694,Weingut Schloss Lieser   2019 Riesling trocken 'Kabinettstück', Deutschland ,Mosel,2019,white,0,12.5,1
695,Domaine Hubert Lamy   2018 Chassagne-Montrachet Blanc 'Le Concis du Champs', Frankreich ,Bourgogne,2018,white,0,13,1
696,Weingut Schäfer-Fröhlich   2019 Riesling Großes Gewächs Felsenberg, Deutschland ,Nahe,2019,white,0,12.5,1
697,Weingut Schäfer-Fröhlich   2019 Riesling Großes Gewächs Stromberg, Deutschland ,Nahe,2019,white,0,12.5,1
698,Weingut Schäfer-Fröhlich   2019 Riesling Großes Gewächs Felsenberg Magnum, Deutschland ,Nahe,2019,white,0,12.5,1
699,"Weingut Schäfer-Fröhlich   2019 Riesling Großes Gewächs FELSENECK, 5 Liter", Deutschland ,Nahe,2019,white,0,13,1
700,Weingut Schäfer-Fröhlich   2019 Riesling Großes Gewächs Stromberg Magnum, Deutschland ,Nahe,2019,white,0,12.5,1
701,Weingut Schäfer-Fröhlich   2019 Riesling Großes Gewächs FELSENECK Magnum, Deutschland ,Nahe,2019,white,0,13,1
702,"Claude Riffault, Bioweingut   2018 Sancerre AC 'Les Denisottes'", Frankreich ,Loire,2018,white,0,13,1
703,"Claude Riffault, Bioweingut   2018 Sancerre AC 'Monoparcelle 538'", Frankreich ,Loire,2018,white,0,13,1
704,"Claude Riffault, Bioweingut   2018 Sancerre AC 'Monoparcelle 469'", Frankreich ,Loire,2018,white,0,13,1
705,Weingut Dönnhoff   2019 Riesling Beerenauslese Niederhäuser Hermannshöhle 'Goldkapsel', Deutschland ,Nahe,2019,white,0,7,1
706,Weingut Dönnhoff   2019 Weißburgunder -S-, Deutschland ,Nahe,2019,white,0,13,1
707,Weingut Dönnhoff   2019 Grauburgunder -S -, Deutschland ,Nahe,2019,white,0,13,1
