,wine_name,wine_country,wine_region,wine_year,wine_type,wine_price,wine_thumb,wine_url,wine_seller
99,Weingut Hain Piesporter Riesling Q.b.A. trocken,Deutschland,Mosel,2019.0,white,7.99,https://www.divino.de/media/image/thumbnail/2014_Hain_RIesling_trocken_150x240.png,https://www.divino.de/wein/weisswein/weingut-hain-piesporter-riesling-trocken,2
100,Weingut Hain Piesporter Goldtröpfchen Riesling Kabinett feinherb,Deutschland,Mosel,2019.0,white,10.3,https://www.divino.de/media/image/thumbnail/2014_Hain_KFH_2_150x240.png,https://www.divino.de/weinweisswein//hain-piesporter-goldtroepfchen-riesling-kabinett-feinherb,2
101,Weingut Hain Piesporter Goldtröpfchen Riesling Alte Reben feinherb,Deutschland,Mosel,2019.0,white,17.5,https://www.divino.de/media/image/thumbnail/getBinary-BinaryCodeID-1343_150x240.jpg,https://www.divino.de/wein/weisswein/weingut-hain-piesporter-goldtroepfchen-riesling-spaetlese-feinherb,2
102,Cascina Castlèt A Taj Piemonte Chardonnay D.O.C.,Italien,Piemont,2019.0,white,10.9,https://www.divino.de/media/image/thumbnail/getBinary-BinaryCodeID-1791_150x240.jpg,https://www.divino.de/wein/weisswein/cascina-castlet-ataj-piemonte-chardonnay-doc,2
103,"Grand Veneur Côtes du Rhône A.C. Blanc 0,375l",Frankreich,Côtes du Rhône,2018.0,white,5.2,https://www.divino.de/media/image/thumbnail/SW10302_2014-frontal_150x240.jpg,"https://www.divino.de/weisswein/grand-veneur-cotes-du-rhone-a.c.-blanc-0,375l",2
104,Bagordi Blanco D.O.C. Rioja,,,2018,,6.99,https://www.divino.de/media/image/thumbnail/Bagordi_Blanco_150x240.png,https://www.divino.de/wein/bagordi-blanco-d.o.c.-rioja,2
105,Adriana Ochoa 8A Uva Doble Blanco D.O. Navarra,Spanien,Navarra,2016,white,8.2,https://www.divino.de/media/image/thumbnail/uvadoble_150x240.png,https://www.divino.de/wein/weisswein/2016-adriana-ochoa-8a-uva-doble-blanco-d.o.-navarra,2
106,Specogna Friulano D.O.C. Colli Orientali del Friuli,Italien,Friaul - Julisch Venetien,2015.0,white,9.99,https://www.divino.de/media/image/thumbnail/getBinary-BinaryCodeID-1413_150x240.jpg,https://www.divino.de/2015-specogna-friulano-d.o.c.-colli-orientali-del-friuli,2
107,Specogna Chardonnay D.O.C. Colli Orientali del Friuli,Italien,Friaul - Julisch Venetien,2014.0,white,13.1,https://www.divino.de/media/image/thumbnail/getBinary-BinaryCodeID-1941_150x240.jpg,https://www.divino.de/2014-specogna-chardonnay-d.o.c.-colli-orientali-del-friuli,2
108,Specogna Pinot Grigio Venezia Giulia,Italien,Friaul - Julisch Venetien,2015.0,rosé,13.1,https://www.divino.de/media/image/thumbnail/getBinary549449e5443d6_150x240.jpg,https://www.divino.de/2015-specogna-pinot-grigio-venezia-giulia,2
109,Specogna Sauvignon D.O.C. Colli Orientali del Friuli,Italien,Friaul - Julisch Venetien,2015.0,white,13.1,https://www.divino.de/media/image/thumbnail/getBinary54944a0cb5fb5_150x240.jpg,https://www.divino.de/2015-specogna-sauvignon-d.o.c.-colli-orientali-del-friuli,2
