,best_match_score,__id_left,__id_right,wine_name_left,wine_winery_left,wine_country_left,wine_region_left,wine_type_left,wine_name_right,wine_winery_right,wine_country_right,wine_region_right,wine_type_right
33051,1.2806099417864834,253_left,5519_right,"chianti classico gran selezione ""vigna del sorbo"" magnum",az. agr. fontodi, Italien ,Toscana,red,vigna del sorbo gran selezione chianti classico,fontodi,Italien,Chianti Classico,red
91,1.266145716439443,2_left,7444_right,"amarone della valpolicella doc ""pietro dal cero""",cà dei frati, Italien ,Lombardei,red,pietro dal cero amarone della valpolicella,cà dei frati,Italien,Amarone della Valpolicella,red
5156,1.261036516561764,64_left,5315_right,"pinot noir trocken ""prago""",weingut metzger, Deutschland ,Pfalz,red,prago pinot noir,weingut metzger,Deutschland,Pfalz,red
58708,1.2467077457288551,496_left,7685_right,riesling trocken vom buntsandstein vdp.ortswein,ökonomierat rebholz, Deutschland ,Pfalz,white,vom buntsandstein riesling trocken,ökonomierat rebholz,Deutschland,Pfalz,white
79431,1.2467077457288551,777_left,7685_right,riesling trocken vom buntsandstein vdp.ortswein,ökonomierat rebholz, Deutschland ,Pfalz,white,vom buntsandstein riesling trocken,ökonomierat rebholz,Deutschland,Pfalz,white
48297,1.2366581431195158,351_left,3245_right,pinot blanc haus klosterberg,weingut markus molitor, Deutschland ,Mosel,white,haus klosterberg pinot blanc,markus molitor,Deutschland,Mosel,white
67265,1.2163246303120294,627_left,2788_right,chardonnay * wehlener klosterberg,weingut markus molitor, Deutschland ,Mosel,white,wehlener klosterberg chardonnay *,markus molitor,Deutschland,Mosel,white
61917,1.1976106854917021,543_left,1124_right,"riesling kabinett kinheimer rosenberg, grüne kapsel",weingut markus molitor, Deutschland ,Mosel,white,kinheimer rosenberg riesling kabinett,markus molitor,Deutschland,Mosel,white
82257,1.1936067948000866,804_left,603_right,lagrein 'rubatsch',manincor, Italien ,Südtirol/Alto Adige,red,rubatsch lagrein,manincor,Italien,Südtirol - Alto Adige,red
77592,1.1936067948000866,748_left,603_right,lagrein 'rubatsch',manincor, Italien ,Südtirol/Alto Adige,red,rubatsch lagrein,manincor,Italien,Südtirol - Alto Adige,red
1461,1.1936067948000866,17_left,603_right,lagrein 'rubatsch',manincor, Italien ,Südtirol/Alto Adige,red,rubatsch lagrein,manincor,Italien,Südtirol - Alto Adige,red
28045,1.1936067948000866,220_left,603_right,lagrein 'rubatsch',manincor, Italien ,Südtirol/Alto Adige,red,rubatsch lagrein,manincor,Italien,Südtirol - Alto Adige,red
77619,1.1915593647387202,753_left,1935_right,11 + 1:  côtes du rhône 'coudoulet de beaucastel',château de beaucastel/familie perrin, Frankreich ,Rhône,red,coudoulet de beaucastel côtes-du-rhône,château de beaucastel,Frankreich,Côtes-du-Rhône,red
88943,1.1885699803202099,915_left,11374_right,cuvée katharina brut nature,sekthaus raumland, Deutschland ,Rheinhessen,sparkling,cuvée katharina brut nature,raumland,Deutschland,Rheinhessen,sparkling
24603,1.184706220902755,194_left,9455_right,mas collet selecció,celler de capçanes, Spanien ,Tarragona,red,mas collet selecció,celler de capçanes,Spanien,Montsant,red
65599,1.1832320306225321,612_left,472_right,riesling trocken 'kabinettstück',weingut schloss lieser, Deutschland ,Mosel,white,kabinettstück riesling trocken,schloss lieser,Deutschland,Mosel,white
88698,1.1745666923580906,912_left,9828_right,brut bianco cuvée dei frati,cà dei frati, Italien ,Lombardei,sparkling,cuvée dei frati brut,cà dei frati,Italien,Lombardia,sparkling
87829,1.1715342652089904,902_left,10377_right,crémant de loire excellence blanc brut,bouvet ladubay, Frankreich ,Loire,sparkling,crémant de loire blanc de blancs brut,bouvet-ladubay,Frankreich,Crémant de Loire,sparkling
65563,1.1714926133521535,611_left,7256_right,riesling trocken 'heldenstück',weingut schloss lieser, Deutschland ,Mosel,white,heldenstück riesling trocken,schloss lieser,Deutschland,Mosel,white
87828,1.1679463209943723,901_left,11779_right,crémant de loire excellence rosé brut,bouvet ladubay, Frankreich ,Loire,sparkling,crémant de loire brut rosé,bouvet-ladubay,Frankreich,Crémant de Loire,sparkling
60400,1.149362200341551,518_left,1484_right,riesling kabinett wiltinger braune kupp,weingut egon müller, Deutschland ,Saar,white,riesling 'le gallais' wiltinger braune kupp kabinett,egon müller - scharzhof,Deutschland,Wiltingen,white
48370,1.131716589855389,358_left,4853_right,'la manina',manincor, Italien ,Südtirol/Alto Adige,white,la manina,manincor,Italien,Südtirol - Alto Adige,white
77594,1.131716589855389,749_left,4853_right,'la manina',manincor, Italien ,Südtirol/Alto Adige,white,la manina,manincor,Italien,Südtirol - Alto Adige,white
73882,1.1240212962166052,723_left,9751_right,domaine de chevalier blanc magnum,domaine de chevalier, Frankreich ,Bordeaux,white,rosé de chevalier,domaine de chevalier,Frankreich,Bordeaux,rosé
118,1.1209855847878183,7_left,2640_right,châteauneuf-du-pape rouge,domaine de la janasse, Frankreich ,Rhône,red,châteauneuf-du-pape (tradition) rouge,domaine de la janasse,Frankreich,Châteauneuf-du-Pape,red
62498,1.1135436923452455,568_left,1822_right,grüner veltliner tradition,schloss gobelsburg, Österreich ,Kamptal,white,grüner veltliner,schloss gobelsburg,Österreich,Kamptal,white
67314,1.1078648417998513,634_left,1846_right,weißburgunder trocken -b-,weingut metzger, Deutschland ,Pfalz,white,weissburgunder trocken,weingut metzger,Deutschland,Pfalz,white
83542,1.1054698528328517,815_left,1768_right,"châteauneuf-du-pape rouge ""les safres""",le clos du caillou, Frankreich ,Rhône,red,châteauneuf-du-pape les safres,clos du caillou,Frankreich,Châteauneuf-du-Pape,red
33338,1.1054698528328517,257_left,1768_right,"châteauneuf-du-pape rouge ""les safres""",le clos du caillou, Frankreich ,Rhône,red,châteauneuf-du-pape les safres,clos du caillou,Frankreich,Châteauneuf-du-Pape,red
76505,1.0930316905844353,742_left,932_right,terlaner 'réserve della contessa',manincor, Italien ,Südtirol/Alto Adige,white,réserve della contessa,manincor,Italien,Südtirol - Alto Adige,white
48367,1.0930316905844353,357_left,932_right,terlaner 'réserve della contessa',manincor, Italien ,Südtirol/Alto Adige,white,réserve della contessa,manincor,Italien,Südtirol - Alto Adige,white
61850,1.0909282334167896,541_left,7728_right,sauvignon blanc trocken -b-,weingut metzger, Deutschland ,Pfalz,white,sauvignon blanc trocken,weingut metzger,Deutschland,Pfalz,white
81901,1.0754739034249647,800_left,326_right,riesling großes gewächs doosberg,weingut peter jakob kühn, Deutschland ,Rheingau,white,doosberg riesling trocken,peter jakob kühn,Deutschland,Rheingau,white
65246,1.0754739034249647,605_left,326_right,riesling großes gewächs doosberg,weingut peter jakob kühn, Deutschland ,Rheingau,white,doosberg riesling trocken,peter jakob kühn,Deutschland,Rheingau,white
85493,1.0754739034249647,852_left,326_right,riesling großes gewächs doosberg,weingut peter jakob kühn, Deutschland ,Rheingau,white,doosberg riesling trocken,peter jakob kühn,Deutschland,Rheingau,white
61979,1.0683791735211383,549_left,927_right,"grüner veltliner smaragd ""vinothekfüllung""",weingut emmerich knoll, Österreich ,Wachau,white,ried loibenberg loibner grüner veltliner smaragd,weingut knoll,Österreich,Wachau,white
15425,1.0640951732107258,126_left,3032_right,"brunello di montalcino ""tenuta nuova""",az. agr. casanova di neri, Italien ,Toscana,red,tenuta nuova brunello di montalcino,casanova di neri,Italien,Brunello di Montalcino,red
48305,1.060730868252373,354_left,369_right,pinot blanc einstern*,weingut markus molitor, Deutschland ,Mosel,white,einstern pinot blanc,markus molitor,Deutschland,Mosel,white
65862,1.060730868252373,614_left,369_right,pinot blanc einstern*,weingut markus molitor, Deutschland ,Mosel,white,einstern pinot blanc,markus molitor,Deutschland,Mosel,white
88950,1.0585393944191768,919_left,12001_right,champagne brut 'la chanose',champagne didier doué, Frankreich ,Champagne,sparkling,la chanose sélection brut champagne,didier doué,Frankreich,Schaumwein,sparkling
20981,1.0464583853132334,173_left,772_right,château lynch bages pauillac grand cru classé,château lynch bages, Frankreich ,Bordeaux,red,pauillac (grand cru classé),château lynch-bages,Frankreich,Pauillac,red
1518,1.036447965763595,20_left,4202_right,neropasso rosso veneto,biscardo, Italien ,Veneto,red,neropasso veneto rosso,biscardo,Italien,Veneto,red
50853,1.0328738515261444,399_left,121_right,riesling kabinett bernkasteler badstube,weingut joh. jos. prüm, Deutschland ,Mosel,white,bernkasteler badstube riesling spätlese,joh. jos. prüm,Deutschland,Bernkastel,white
63084,1.0328738515261444,579_left,121_right,riesling kabinett bernkasteler badstube,weingut joh. jos. prüm, Deutschland ,Mosel,white,bernkasteler badstube riesling spätlese,joh. jos. prüm,Deutschland,Bernkastel,white
84786,1.0188088337113514,843_left,4675_right,riesling großes gewächs stromberg,weingut schäfer-fröhlich, Deutschland ,Nahe,white,stromberg riesling gg,schäfer-fröhlich,Deutschland,Nahe,white
66000,1.0188088337113514,616_left,4675_right,riesling großes gewächs stromberg,weingut schäfer-fröhlich, Deutschland ,Nahe,white,stromberg riesling gg,schäfer-fröhlich,Deutschland,Nahe,white
85887,1.0188088337113514,858_left,4675_right,riesling großes gewächs stromberg,weingut schäfer-fröhlich, Deutschland ,Nahe,white,stromberg riesling gg,schäfer-fröhlich,Deutschland,Nahe,white
52189,1.0188088337113514,418_left,4675_right,riesling großes gewächs stromberg,weingut schäfer-fröhlich, Deutschland ,Nahe,white,stromberg riesling gg,schäfer-fröhlich,Deutschland,Nahe,white
20093,1.0123088362945534,163_left,3032_right,"brunello di montalcino ""tenuta nuova"" magnum",az. agr. casanova di neri, Italien ,Toscana,red,tenuta nuova brunello di montalcino,casanova di neri,Italien,Brunello di Montalcino,red
