,wine_name,wine_winery,wine_country,wine_region,wine_year,wine_type,wine_price,wine_alcohol,wine_thumb,wine_url,wine_seller
495,Weißer Burgunder trocken VDP.Gutswein,Ökonomierat Rebholz, Deutschland ,Pfalz, 2020 ,white,11.5,13.0,https://www.wein-direktimport.de/media/image/1c/5f/d4/2020-WB-trocken-ZIPAivdeN98p1cfZ_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/pfalz/oekonomierat-rebholz/4021/2020-weisser-burgunder-trocken-vdp.gutswein?c=559,1
496,Riesling trocken VDP.Gutswein,Ökonomierat Rebholz, Deutschland ,Pfalz, 2020 ,white,11.5,12.0,https://www.wein-direktimport.de/media/image/29/5a/95/Riesling-trocken-2020-Front-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/pfalz/oekonomierat-rebholz/4023/2020-riesling-trocken-vdp.gutswein?c=559,1
497,Riesling trocken Frankweiler Biengarten VDP.Erste Lage,Ökonomierat Rebholz, Deutschland ,Pfalz, 2020 ,white,26.9,12.0,https://www.wein-direktimport.de/media/image/2b/4c/64/2020-GG-Biengarten-Riesling-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/pfalz/oekonomierat-rebholz/4025/2020-riesling-trocken-frankweiler-biengarten-vdp.erste-lage?c=559,1
498,Riesling Kabinett vom Rotliegenden,Ökonomierat Rebholz, Deutschland ,Pfalz, 2017 ,white,19.0,8.0,https://www.wein-direktimport.de/media/image/27/dc/02/2017-Riesling-Kabinett-Rotliegndes-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/pfalz/oekonomierat-rebholz/4029/2017-riesling-kabinett-vom-rotliegenden?c=559,1
499,Riesling trocken vom Buntsandstein VDP.Ortswein,Ökonomierat Rebholz, Deutschland ,Pfalz, 2020 ,white,20.5,12.0,https://www.wein-direktimport.de/media/image/d1/85/e9/Riesling-Buntsandstein-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/pfalz/oekonomierat-rebholz/4024/2020-riesling-trocken-vom-buntsandstein-vdp.ortswein?c=559,1
500,Riesling trocken vom Muschelkalk,Ökonomierat Rebholz, Deutschland ,Pfalz, 2020 ,white,21.9,12.5,https://www.wein-direktimport.de/media/image/c8/3e/99/2020-Riesling-Muschelkalk_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/pfalz/oekonomierat-rebholz/4030/2020-riesling-trocken-vom-muschelkalk?c=559,1
501,Grüner Veltliner trocken 'Domaene Gobelsburg',Schloss Gobelsburg, Österreich ,Kamptal, 2020 ,white,8.9,12.5,https://www.wein-direktimport.de/media/image/4e/24/4d/GV-Domaene-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/oesterreich/kamptal/weingut-schloss-gobelsburg/4020/2020-gruener-veltliner-trocken-domaene-gobelsburg?c=559,1
502,Weisser Burgunder trocken,Weingut Wittmann, Deutschland ,Rheinhessen, 2020 ,white,11.9,12.5,https://www.wein-direktimport.de/media/image/56/be/4e/WB-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/rheinhessen/weingut-philipp-wittmann/4014/2020-weisser-burgunder-trocken?c=559,1
503,Weißer Burgunder & Chardonnay Westhofener trocken,Weingut Wittmann, Deutschland ,Rheinhessen, 2019 ,white,19.5,12.5,https://www.wein-direktimport.de/media/image/50/34/dc/WB-CH-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/rheinhessen/weingut-philipp-wittmann/4015/2019-weisser-burgunder-chardonnay-westhofener-trocken?c=559,1
504,Grauer Burgunder trocken,Weingut Wittmann, Deutschland ,Rheinhessen, 2020 ,white,11.9,12.5,https://www.wein-direktimport.de/media/image/71/3a/f6/GB-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/rheinhessen/weingut-philipp-wittmann/4012/2020-grauer-burgunder-trocken?c=559,1
505,Riesling trocken,Weingut Wittmann, Deutschland ,Rheinhessen, 2020 ,white,11.9,12.0,https://www.wein-direktimport.de/media/image/fb/1e/94/Riesling-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/rheinhessen/weingut-philipp-wittmann/4013/2020-riesling-trocken?c=559,1
506,Riesling trocken Deidesheimer Paradiesgarten,Weingut von Winning, Deutschland ,Pfalz, 2020 ,white,15.5,12.5,https://www.wein-direktimport.de/media/image/27/cf/5b/2020-Paradiesgarten-750-ml-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/pfalz/weingut-von-winning/3996/2020-riesling-trocken-deidesheimer-paradiesgarten?c=559,1
507,Grauer Burgunder trocken,Weingut von Winning, Deutschland ,Pfalz, 2020 ,white,12.5,12.5,https://www.wein-direktimport.de/media/image/7e/2b/bb/Grauer-Burgunder-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/pfalz/weingut-von-winning/3994/2020-grauer-burgunder-trocken?c=559,1
508,Lugana DOC Le Creete,Ottella, Italien ,Veneto, 2020 ,white,13.9,13.0,https://www.wein-direktimport.de/media/image/e6/ae/f6/le-creete_200x300.jpg,https://www.wein-direktimport.de/weine/italien/veneto/azienda-agricola-ottella/3973/2020-lugana-doc-le-creete?c=559,1
509,Meursault 'Clos des Ecoles',Domaine Hudelot-Noëllat, Frankreich ,Bourgogne, 2019 ,white,68.0,13.5,https://www.wein-direktimport.de/media/image/96/f3/44/Meursault-Blanc-Ecole_200x300.jpg,https://www.wein-direktimport.de/weine/frankreich/bourgogne/cote-d-or/hudelot-noellat/3984/2019-meursault-clos-des-ecoles?c=559,1
510,Viognier Sainte Fleur,Domaine de Triennes, Frankreich ,Provence, 2019 ,white,13.9,14.0,https://www.wein-direktimport.de/media/image/cd/6d/31/Sainte-Fleur-blanc-2019-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/frankreich/provence/domaine-de-triennes/3977/2019-viognier-sainte-fleur?c=559,1
511,Blanc 'Les Auréliens',Domaine de Triennes, Frankreich ,Provence, 2019 ,white,10.9,13.0,https://www.wein-direktimport.de/media/image/ff/08/76/Aureliens-2019-blanc-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/frankreich/provence/domaine-de-triennes/3976/2019-blanc-les-aureliens?c=559,1
512,Riesling Auslese Niederhäuser Hermannshöhle 'Goldkapsel' 375 ml,Weingut Dönnhoff, Deutschland ,Nahe, 2010 ,white,35.0,7.0,https://www.wein-direktimport.de/media/image/e0/56/a2/Niederhaeuser-Hermannshoehle-Auslese-ZIPtGS5QdEhvCet6_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/nahe/weingut-doennhoff/3971/2010-riesling-auslese-niederhaeuser-hermannshoehle-goldkapsel-375-ml?c=559,1
513,Weisser Burgunder trocken,Weingut Schäfer-Fröhlich, Deutschland ,Nahe, 2020 ,white,10.5,13.5,https://www.wein-direktimport.de/media/image/1a/ee/41/WB-trocken-ZIPjpg_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/nahe/weingut-schaefer-froehlich/3962/2020-weisser-burgunder-trocken?c=559,1
514,Grauburgunder 'S' trocken,Weingut Schäfer-Fröhlich, Deutschland ,Nahe, 2020 ,white,16.5,14.0,https://www.wein-direktimport.de/media/image/ca/04/8b/GB-S-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/nahe/weingut-schaefer-froehlich/3960/2020-grauburgunder-s-trocken?c=559,1
515,Weisser Burgunder 'S' trocken,Weingut Schäfer-Fröhlich, Deutschland ,Nahe, 2020 ,white,16.5,13.0,https://www.wein-direktimport.de/media/image/14/6a/cb/WB-S-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/nahe/weingut-schaefer-froehlich/3961/2020-weisser-burgunder-s-trocken?c=559,1
516,Riesling Spätlese Niederberg Helden,Weingut Schloss Lieser, Deutschland ,Mosel, 2019 ,white,18.5,8.0,https://www.wein-direktimport.de/media/image/52/b0/7b/Niederberg-Helden-Spaetlese-restsuess-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/mosel-und-saar/weingut-schloss-lieser/3964/2019-riesling-spaetlese-niederberg-helden?c=559,1
